date,event_type,label
2023-02-01,FOMC,FOMC policy statement
2023-03-22,FOMC,FOMC policy statement
2023-05-03,FOMC,FOMC policy statement
2023-06-14,FOMC,FOMC policy statement
2023-07-26,FOMC,FOMC policy statement
2023-09-20,FOMC,FOMC policy statement
2023-11-01,FOMC,FOMC policy statement
2023-12-13,FOMC,FOMC policy statement
2024-01-31,FOMC,FOMC policy statement
2024-03-20,FOMC,FOMC policy statement
2024-05-01,FOMC,FOMC policy statement
2024-06-12,FOMC,FOMC policy statement
2024-07-31,FOMC,FOMC policy statement
2024-09-18,FOMC,FOMC policy statement
2024-11-07,FOMC,FOMC policy statement
2024-12-18,FOMC,FOMC policy statement
