date,symbol,price,position,gross_return,cost,net_return,turnover
2019-01-02,ES=F,2511.0,0.0,0.0,0.0,0.0,0.0
2019-01-03,ES=F,2447.75,0.0,-0.0,0.0,-0.0,0.0
2019-01-04,ES=F,2531.25,0.0,0.0,0.0,0.0,0.0
2019-01-07,ES=F,2550.5,0.0,0.0,0.0,0.0,0.0
2019-01-08,ES=F,2572.5,0.0,0.0,0.0,0.0,0.0
2019-01-09,ES=F,2582.5,0.0,0.0,0.0,0.0,0.0
2019-01-10,ES=F,2594.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,ES=F,2595.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,ES=F,2580.5,0.0,-0.0,0.0,-0.0,0.0
2019-01-15,ES=F,2605.5,0.0,0.0,0.0,0.0,0.0
2019-01-16,ES=F,2613.25,0.0,0.0,0.0,0.0,0.0
2019-01-17,ES=F,2635.25,0.0,0.0,0.0,0.0,0.0
2019-01-18,ES=F,2671.5,0.0,0.0,0.0,0.0,0.0
2019-01-22,ES=F,2632.0,0.0,-0.0,0.0,-0.0,0.0
2019-01-23,ES=F,2638.25,0.0,0.0,0.0,0.0,0.0
2019-01-24,ES=F,2634.0,0.0,-0.0,0.0,-0.0,0.0
2019-01-25,ES=F,2663.5,0.0,0.0,0.0,0.0,0.0
2019-01-28,ES=F,2642.0,0.0,-0.0,0.0,-0.0,0.0
2019-01-29,ES=F,2640.25,0.0,-0.0,0.0,-0.0,0.0
2019-01-30,ES=F,2682.5,0.0,0.0,0.0,0.0,0.0
2019-01-31,ES=F,2704.5,0.0,0.0,0.0,0.0,0.0
2019-02-01,ES=F,2704.25,0.0,-0.0,0.0,-0.0,0.0
2019-02-04,ES=F,2721.25,0.0,0.0,0.0,0.0,0.0
2019-02-05,ES=F,2731.0,0.0,0.0,0.0,0.0,0.0
2019-02-06,ES=F,2729.5,0.0,-0.0,0.0,-0.0,0.0
2019-02-07,ES=F,2704.0,0.0,-0.0,0.0,-0.0,0.0
2019-02-08,ES=F,2706.25,0.0,0.0,0.0,0.0,0.0
2019-02-11,ES=F,2708.25,0.0,0.0,0.0,0.0,0.0
2019-02-12,ES=F,2744.75,0.0,0.0,0.0,0.0,0.0
2019-02-13,ES=F,2749.5,0.0,0.0,0.0,0.0,0.0
2019-02-14,ES=F,2743.5,0.0,-0.0,0.0,-0.0,0.0
2019-02-15,ES=F,2777.0,0.0,0.0,0.0,0.0,0.0
2019-02-19,ES=F,2778.75,0.0,0.0,0.0,0.0,0.0
2019-02-20,ES=F,2787.0,0.0,0.0,0.0,0.0,0.0
2019-02-21,ES=F,2774.25,0.0,-0.0,0.0,-0.0,0.0
2019-02-22,ES=F,2791.25,0.0,0.0,0.0,0.0,0.0
2019-02-25,ES=F,2797.0,0.0,0.0,0.0,0.0,0.0
2019-02-26,ES=F,2791.5,0.0,-0.0,0.0,-0.0,0.0
2019-02-27,ES=F,2795.0,0.0,0.0,0.0,0.0,0.0
2019-02-28,ES=F,2784.75,0.0,-0.0,0.0,-0.0,0.0
2019-03-01,ES=F,2805.0,0.0,0.0,0.0,0.0,0.0
2019-03-04,ES=F,2791.5,0.0,-0.0,0.0,-0.0,0.0
2019-03-05,ES=F,2791.5,0.0,0.0,0.0,0.0,0.0
2019-03-06,ES=F,2771.5,0.0,-0.0,0.0,-0.0,0.0
2019-03-07,ES=F,2750.0,0.0,-0.0,0.0,-0.0,0.0
2019-03-08,ES=F,2747.0,0.0,-0.0,0.0,-0.0,0.0
2019-03-11,ES=F,2784.0,0.0,0.0,0.0,0.0,0.0
2019-03-12,ES=F,2792.0,0.0,0.0,0.0,0.0,0.0
2019-03-13,ES=F,2814.5,0.0,0.0,0.0,0.0,0.0
2019-03-14,ES=F,2807.25,0.0,-0.0,0.0,-0.0,0.0
2019-03-15,ES=F,2811.889892578125,0.0,0.0,0.0,0.0,0.0
2019-03-18,ES=F,2840.5,0.0,0.0,0.0,0.0,0.0
2019-03-19,ES=F,2836.5,0.0,-0.0,0.0,-0.0,0.0
2019-03-20,ES=F,2827.0,0.0,-0.0,0.0,-0.0,0.0
2019-03-21,ES=F,2862.5,0.0,0.0,0.0,0.0,0.0
2019-03-22,ES=F,2810.75,0.0,-0.0,0.0,-0.0,0.0
2019-03-25,ES=F,2807.0,0.0,-0.0,0.0,-0.0,0.0
2019-03-26,ES=F,2823.0,0.0,0.0,0.0,0.0,0.0
2019-03-27,ES=F,2810.5,0.0,-0.0,0.0,-0.0,0.0
2019-03-28,ES=F,2821.0,0.0,0.0,0.0,0.0,0.0
2019-03-29,ES=F,2837.75,0.0,0.0,0.0,0.0,0.0
2019-04-01,ES=F,2870.5,0.0,0.0,0.0,0.0,0.0
2019-04-02,ES=F,2867.0,0.0,-0.0,0.0,-0.0,0.0
2019-04-03,ES=F,2879.75,0.0,0.0,0.0,0.0,0.0
2019-04-04,ES=F,2882.75,0.0,0.0,0.0,0.0,0.0
2019-04-05,ES=F,2896.0,0.0,0.0,0.0,0.0,0.0
2019-04-08,ES=F,2898.25,0.0,0.0,0.0,0.0,0.0
2019-04-09,ES=F,2882.5,0.0,-0.0,0.0,-0.0,0.0
2019-04-10,ES=F,2894.5,0.0,0.0,0.0,0.0,0.0
2019-04-11,ES=F,2891.75,0.0,-0.0,0.0,-0.0,0.0
2019-04-12,ES=F,2912.5,0.0,0.0,0.0,0.0,0.0
2019-04-15,ES=F,2909.5,0.0,-0.0,0.0,-0.0,0.0
2019-04-16,ES=F,2911.5,0.0,0.0,0.0,0.0,0.0
2019-04-17,ES=F,2900.5,0.0,-0.0,0.0,-0.0,0.0
2019-04-18,ES=F,2910.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,ES=F,2912.5,0.0,0.0,0.0,0.0,0.0
2019-04-23,ES=F,2938.0,0.0,0.0,0.0,0.0,0.0
2019-04-24,ES=F,2930.75,0.0,-0.0,0.0,-0.0,0.0
2019-04-25,ES=F,2926.25,0.0,-0.0,0.0,-0.0,0.0
2019-04-26,ES=F,2941.5,0.0,0.0,0.0,0.0,0.0
2019-04-29,ES=F,2943.0,0.0,0.0,0.0,0.0,0.0
2019-04-30,ES=F,2948.5,0.0,0.0,0.0,0.0,0.0
2019-05-01,ES=F,2923.0,0.0,-0.0,0.0,-0.0,0.0
2019-05-02,ES=F,2917.5,0.0,-0.0,0.0,-0.0,0.0
2019-05-03,ES=F,2947.5,0.0,0.0,0.0,0.0,0.0
2019-05-06,ES=F,2932.5,0.0,-0.0,0.0,-0.0,0.0
2019-05-07,ES=F,2890.75,0.0,-0.0,0.0,-0.0,0.0
2019-05-08,ES=F,2887.25,0.0,-0.0,0.0,-0.0,0.0
2019-05-09,ES=F,2872.75,0.0,-0.0,0.0,-0.0,0.0
2019-05-10,ES=F,2887.0,0.0,0.0,0.0,0.0,0.0
2019-05-13,ES=F,2807.0,0.0,-0.0,0.0,-0.0,0.0
2019-05-14,ES=F,2839.25,0.0,0.0,0.0,0.0,0.0
2019-05-15,ES=F,2855.0,0.0,0.0,0.0,0.0,0.0
2019-05-16,ES=F,2878.5,0.0,0.0,0.0,0.0,0.0
2019-05-17,ES=F,2862.0,0.0,-0.0,0.0,-0.0,0.0
2019-05-20,ES=F,2844.0,0.0,-0.0,0.0,-0.0,0.0
2019-05-21,ES=F,2866.0,0.0,0.0,0.0,0.0,0.0
2019-05-22,ES=F,2857.5,0.0,-0.0,0.0,-0.0,0.0
2019-05-23,ES=F,2819.5,0.0,-0.0,0.0,-0.0,0.0
2019-05-24,ES=F,2831.75,0.0,0.0,0.0,0.0,0.0
2019-05-28,ES=F,2805.0,0.8118432325498715,-0.007669040865439792,0.0001623686465099743,-0.007831409511949767,0.8118432325498715
2019-05-29,ES=F,2780.0,0.8010446804045372,-0.007139435654229386,2.1597104290668414e-06,-0.007141595364658453,0.010798552145334206
2019-05-30,ES=F,2790.5,0.796721640769411,0.003009200441754898,8.646079270252516e-07,0.0030083358338278726,0.004323039635126258
2019-05-31,ES=F,2752.5,0.7959185752265181,-0.010838525661568805,1.606131085785778e-07,-0.010838686274677383,0.000803065542892889
2019-06-03,ES=F,2749.5,0.7703592506702812,-0.0008396286110847875,5.111864911247377e-06,-0.0008447404759960349,0.025559324556236884
2019-06-04,ES=F,2805.0,0.808179956417462,0.016313507030794448,7.5641411494361544e-06,0.01630594288964501,0.03782070574718077
2019-06-05,ES=F,2827.75,0.7091461043034888,0.005751541487666407,1.9806770422794642e-05,0.005731734717243612,0.0990338521139732
2019-06-06,ES=F,2845.75,0.7195434508941576,0.0045802429903969,2.0794693181337643e-06,0.004578163521078766,0.010397346590668821
2019-06-07,ES=F,2875.0,0.7112105530188152,0.007310167328753584,1.6665795750684832e-06,0.007308500749178515,0.008332897875342415
2019-06-10,ES=F,2889.25,0.697584591160968,0.0034575931909718183,2.7251923715694295e-06,0.003454867998600249,0.013625961857847146
2019-06-11,ES=F,2887.0,0.6975901957086625,-0.0005432475349466049,1.1209095388986512e-09,-0.0005432486558561438,5.604547694493256e-06
2019-06-12,ES=F,2881.0,0.8615444923046678,-0.0017905323705673932,3.279085931920105e-05,-0.0018233232298865943,0.16395429659600524
2019-06-13,ES=F,2894.5,0.8902486207548315,0.004171591940364521,5.740825690032736e-06,0.004165851114674489,0.02870412845016368
2019-06-14,ES=F,2890.5,0.8925826699353092,-0.0012334878838283956,4.6680983609554973e-07,-0.001233954693664491,0.0023340491804777486
2019-06-17,ES=F,2892.0,0.9107178488364696,0.0004726091587111077,3.6270357802320688e-06,0.00046898212293087566,0.018135178901160343
2019-06-18,ES=F,2921.75,0.9233943332370119,0.009498956228838522,2.535296880108473e-06,0.009496420931958413,0.012676484400542365
2019-06-19,ES=F,2929.0,0.9118579799071204,0.0022626748881069184,2.3072706659783117e-06,0.00226036761744094,0.011536353329891558
2019-06-20,ES=F,2955.75,0.9256038780305619,0.008453364198469688,2.749179624688303e-06,0.008450615018845,0.013745898123441513
2019-06-21,ES=F,2953.89990234375,0.9119756184852419,-0.0005708344597197212,2.7256519090639975e-06,-0.0005735601116287852,0.013628259545319987
2019-06-24,ES=F,2952.0,0.9986741682621378,-0.0006423316482114079,1.7339709955379192e-05,-0.0006596713581667872,0.08669854977689595
2019-06-25,ES=F,2922.0,0.9970083775725029,-0.010132198959070124,3.33158137926981e-07,-0.01013253211720805,0.001665790689634905
2019-06-26,ES=F,2918.0,0.9897013003418661,-0.0013548272420833046,1.4614154461273677e-06,-0.001356288657529432,0.007307077230636838
2019-06-27,ES=F,2931.0,1.0,0.0044551062371487316,2.0597399316267807e-06,0.004453046497217105,0.010298699658133903
2019-06-28,ES=F,2944.25,1.0,0.004520641419310856,0.0,0.004520641419310856,0.0
2019-07-01,ES=F,2967.75,1.0,0.00798165916617144,0.0,0.00798165916617144,0.0
2019-07-02,ES=F,2979.5,1.0,0.003959228371662071,0.0,0.003959228371662071,0.0
2019-07-03,ES=F,3000.25,1.0,0.006964255747608616,0.0,0.006964255747608616,0.0
2019-07-05,ES=F,2990.5,1.0,-0.003249729189234274,0.0,-0.003249729189234274,0.0
2019-07-08,ES=F,2978.5,1.0,-0.0040127069051998365,0.0,-0.0040127069051998365,0.0
2019-07-09,ES=F,2982.0,1.0,0.001175088131609936,0.0,0.001175088131609936,0.0
